target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
acsins_dLmax_ph7.4_avg,physicochemical_seq_all,random,0,xgboost,regression,517,1878,413,104,"{""learning_rate"": 0.061778277937018636, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.5327,0.5538,0.2148,5.0191,7.0904,0.9747,0.9808,0.9606,1.0912,1.83
acsins_dLmax_ph7.4_avg,physicochemical_seq_all,random,1,xgboost,regression,517,1878,413,104,"{""learning_rate"": 0.061778277937018636, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6368,0.6164,0.3546,5.2779,7.4125,0.9701,0.976,0.9514,1.072,1.9749
acsins_dLmax_ph7.4_avg,physicochemical_seq_all,random,2,xgboost,regression,517,1878,414,103,"{""learning_rate"": 0.061778277937018636, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6396,0.6073,0.3279,5.2005,7.4417,0.9728,0.9812,0.9619,0.9159,1.7543
acsins_dLmax_ph7.4_avg,physicochemical_seq_all,random,3,xgboost,regression,517,1878,414,103,"{""learning_rate"": 0.061778277937018636, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6189,0.5814,0.3011,5.0594,7.4464,0.9709,0.9825,0.9641,1.0059,1.7124
acsins_dLmax_ph7.4_avg,physicochemical_seq_all,random,4,xgboost,regression,517,1878,414,103,"{""learning_rate"": 0.061778277937018636, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6643,0.6702,0.4436,4.9622,7.1513,0.9679,0.9778,0.9549,1.0434,1.8814
acsins_dLmax_ph7.4_avg,vhvlcdrh3_esm2_seq_embeddings_svd80_vhvlcdrh3_esm2_pll_georgiev_mean_pooled,random,0,xgboost,regression,517,281,413,104,"{""learning_rate"": 0.012981881402549895, ""max_depth"": 5, ""n_estimators"": 400, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.4468,0.5676,0.2869,5.0104,6.757,0.9745,0.9811,0.9598,1.1288,1.8479
acsins_dLmax_ph7.4_avg,vhvlcdrh3_esm2_seq_embeddings_svd80_vhvlcdrh3_esm2_pll_georgiev_mean_pooled,random,1,xgboost,regression,517,281,413,104,"{""learning_rate"": 0.012981881402549895, ""max_depth"": 5, ""n_estimators"": 400, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6372,0.6382,0.4063,5.0616,7.1092,0.9649,0.9757,0.948,1.2228,2.0444
acsins_dLmax_ph7.4_avg,vhvlcdrh3_esm2_seq_embeddings_svd80_vhvlcdrh3_esm2_pll_georgiev_mean_pooled,random,2,xgboost,regression,517,281,414,103,"{""learning_rate"": 0.012981881402549895, ""max_depth"": 5, ""n_estimators"": 400, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.506,0.4385,0.1066,6.2341,8.5802,0.9714,0.9811,0.9595,1.0255,1.8097
acsins_dLmax_ph7.4_avg,vhvlcdrh3_esm2_seq_embeddings_svd80_vhvlcdrh3_esm2_pll_georgiev_mean_pooled,random,3,xgboost,regression,517,281,414,103,"{""learning_rate"": 0.012981881402549895, ""max_depth"": 5, ""n_estimators"": 400, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.4346,0.4187,0.0877,5.8311,8.5077,0.9755,0.9828,0.9636,1.0426,1.7248
acsins_dLmax_ph7.4_avg,vhvlcdrh3_esm2_seq_embeddings_svd80_vhvlcdrh3_esm2_pll_georgiev_mean_pooled,random,4,xgboost,regression,517,281,414,103,"{""learning_rate"": 0.012981881402549895, ""max_depth"": 5, ""n_estimators"": 400, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6922,0.6808,0.4558,4.9614,7.0726,0.9636,0.9779,0.9527,1.1256,1.9261
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_svd150_esm2_seq_embeddings_svd20_georgiev,random,0,xgboost,regression,517,770,413,104,"{""learning_rate"": 0.032676417657817626, ""max_depth"": 5, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.5756,0.6959,0.4642,4.3678,5.8571,0.9865,0.9823,0.9648,0.7918,1.7277
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_svd150_esm2_seq_embeddings_svd20_georgiev,random,1,xgboost,regression,517,770,413,104,"{""learning_rate"": 0.032676417657817626, ""max_depth"": 5, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6963,0.6487,0.4203,5.0088,7.0248,0.9837,0.9772,0.9548,0.8463,1.9048
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_svd150_esm2_seq_embeddings_svd20_georgiev,random,2,xgboost,regression,517,770,414,103,"{""learning_rate"": 0.032676417657817626, ""max_depth"": 5, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.5519,0.5553,0.265,5.6457,7.7825,0.9831,0.9822,0.9644,0.7435,1.695
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_svd150_esm2_seq_embeddings_svd20_georgiev,random,3,xgboost,regression,517,770,414,103,"{""learning_rate"": 0.032676417657817626, ""max_depth"": 5, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.5617,0.5094,0.1967,5.3897,7.9835,0.9863,0.9838,0.9678,0.7531,1.6236
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_svd150_esm2_seq_embeddings_svd20_georgiev,random,4,xgboost,regression,517,770,414,103,"{""learning_rate"": 0.032676417657817626, ""max_depth"": 5, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.7403,0.6915,0.4648,4.792,7.014,0.9808,0.9792,0.9586,0.7918,1.8022
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_esm2_seq_embeddings_svd50_georgiev,random,0,xgboost,regression,517,2069,413,104,"{""learning_rate"": 0.03968793330444373, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.534,0.6141,0.3442,4.8075,6.4796,0.9563,0.9784,0.9524,1.3699,2.0113
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_esm2_seq_embeddings_svd50_georgiev,random,1,xgboost,regression,517,2069,413,104,"{""learning_rate"": 0.03968793330444373, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6554,0.646,0.4013,5.1359,7.1394,0.9483,0.9738,0.9441,1.3346,2.1184
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_esm2_seq_embeddings_svd50_georgiev,random,2,xgboost,regression,517,2069,414,103,"{""learning_rate"": 0.03968793330444373, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6435,0.5968,0.3201,5.2446,7.4851,0.9486,0.9791,0.9552,1.1861,1.9031
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_esm2_seq_embeddings_svd50_georgiev,random,3,xgboost,regression,517,2069,414,103,"{""learning_rate"": 0.03968793330444373, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6293,0.5881,0.3218,5.0426,7.3353,0.9561,0.981,0.9589,1.209,1.8325
acsins_dLmax_ph7.4_avg,physicochemical_seq_all_esm2_seq_embeddings_svd50_georgiev,random,4,xgboost,regression,517,2069,414,103,"{""learning_rate"": 0.03968793330444373, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42}",True,spearman,all_data,,,,,517,,0.6805,0.6917,0.4741,4.9773,6.9525,0.9499,0.976,0.9492,1.2438,1.9976
